IGN,region,rank_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_clutches__1v4,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating
SEN nightz#aim,na,"1,126","6,102",15.07,0.7,"11,629",28.71,1.4,24,263.6,"2,140",5.3,0.3,1.9%,164,92,52,13,6,141,190,183,97,"1,465,563","251,342","1,214,221","3,618.67",116.7,172.2,30,"9,514","7,589",726,"6,304",15.6,0.7,146,0,"27,074",3.2,0.56,"1,254",3.10,0.1,980,0.1,313,"5,071",12.52,0.6,42.6%,"6,791",0.8,1.27,1.61,75.5%,1.44,"8,018",19.8,0.9,670,139,405,40,"2,595","1,410",621,150,25,3,109,203,"12,562","5,132","1,245","3,878","8,513","2,494","1,599","4,635","2,244,032","5,541",32,80,625,7,209h,"1,261",3.11,0.1,259,67,31m 01s,54.4%,01m 28s,64.0%,253.0,984,0.2,"692,012","56,088","635,924",163.5,13,"3,307",0.51,625,0.1,610,0.1,"3,238",1.15,73.1%,"3,813",0.9,0.50,0.0,50.5%,"2,094","4,233","1,081",893,"2,139","1,071,114",274.0,"1,156",0.3,"773,551","195,254","578,297",180.7,46,"2,997",0.36,0.0,0.63,629,0.1,370,0.1,"3,553",1.40,77.8%,"4,208",1.0,58.3%,"1,784","4,280","1,413",706,"2,496","1,172,918","1,173",910,"1,126"
the chosen one#mØØda,na,"1,118","7,314",10.85,0.5,"13,763",20.42,1.0,51,255.5,"2,651",3.9,0.2,1.5%,217,125,58,25,8,206,244,219,107,"2,342,185","308,327","2,033,858","3,475.05",112.0,165.9,22,"21,417","10,342","1,434","10,833",16.1,0.8,185,0,"44,256",3.1,0.53,"2,417",3.59,0.2,"2,118",0.1,454,"7,894",11.71,0.6,31.2%,"9,475",0.7,1.17,1.42,72.3%,1.29,"12,693",18.8,0.9,860,284,674,38,"4,154","2,230",900,269,58,3,191,323,"21,144","8,563","2,696","6,771","14,121","3,313","2,741","7,350","3,607,497","5,352",23,111,"1,127",8,348h,"1,920",2.85,0.1,382,66,31m 01s,52.1%,01m 28s,56.7%,249.1,"1,257",0.2,"1,140,380","68,443","1,071,937",160.5,10,"5,709",0.47,"1,114",0.2,"1,235",0.2,"4,770",1.09,71.2%,"6,204",0.9,0.48,0.0,48.7%,"3,646","7,104","1,404","1,617","3,458","1,769,365",262.0,"1,393",0.2,"1,201,805","239,884","961,921",171.3,34,"5,118",0.27,0.0,0.60,"1,303",0.2,883,0.1,"4,705",1.27,73.4%,"6,494",0.9,55.5%,"3,125","7,017","1,909","1,124","3,892","1,838,132","1,118",813,"1,118"
humblegod#1122,na,"1,076","1,451",6.05,0.3,"9,092",37.88,1.8,8,265.4,"1,519",6.3,0.3,2.0%,100,57,30,12,0,118,151,166,52,"874,656","150,137","724,519","3,644.40",116.2,175.6,30,"6,393","4,208",388,"3,774",15.7,0.8,69,0,"16,815",3.4,0.58,553,2.30,0.1,393,0.1,216,"2,713",11.30,0.5,38.3%,"3,842",0.8,1.25,1.66,77.7%,1.46,"4,736",19.7,1.0,527,89,240,33,"1,543",847,344,103,11,0,74,124,"7,141","3,231",643,"2,269","4,981","1,565",958,"2,712","1,321,962","5,508",42,42,786,2,125h,597,2.49,0.1,149,70,31m 21s,54.4%,01m 30s,62.1%,258.9,694,0.3,"431,579","51,794","379,785",171.8,21,"1,981",0.51,230,0.1,219,0.1,"1,941",1.17,76.2%,"2,320",0.9,0.52,0.0,51.4%,"1,220","2,512",715,484,"1,292","650,425",272.0,820,0.3,"443,077","98,343","344,734",179.5,40,"1,793",0.29,0.0,0.65,323,0.1,174,0.1,"1,901",1.35,79.2%,"2,416",1.0,57.5%,"1,049","2,469",850,474,"1,420","671,537","1,076",929,"1,076"
ENVY POPPIN#GUIDE,na,"1,066","2,061",10.41,0.5,"4,621",23.34,1.1,5,245.7,"1,417",7.2,0.3,2.4%,99,55,29,12,2,68,115,83,35,"660,227","90,451","569,776","3,334.48",109.9,158.8,22,"6,943","2,754",702,"2,982",15.1,0.7,68,0,"12,696",3.1,0.53,495,2.50,0.1,447,0.1,164,"1,492",7.54,0.4,26.5%,"2,326",0.6,1.19,1.66,77.2%,1.42,"3,537",17.9,0.9,341,57,198,34,"1,276",621,255,56,5,1,37,716,"5,759","2,521",537,"1,858","4,157","1,280",799,"2,299","1,021,483","5,159",11,35,819,4,100h,549,2.77,0.1,137,64,30m 20s,55.3%,01m 26s,69.2%,230.6,728,0.4,"304,901","12,866","292,035",147.1,6,"1,507",0.47,198,0.1,224,0.1,"1,079",1.10,77.0%,"1,661",0.8,3.62,0.3,52.6%,983,"2,073",631,444,"1,090","477,936",260.8,686,0.3,"355,326","77,585","277,741",170.5,37,"1,475",0.34,0.0,0.57,297,0.1,223,0.1,"1,247",1.27,77.3%,"1,877",0.9,58.0%,875,"2,084",649,355,"1,209","543,547","1,111",887,"1,066"
KRÜ Shyy#Flow,na,"1,040","1,197",14.96,0.7,"2,340",29.25,1.4,8,292.7,490,6.1,0.3,2.8%,47,25,16,3,1,27,49,54,21,"327,884","103,161","224,723","4,098.55",128.8,194.1,61,"3,102","1,300",218,"1,116",13.9,0.7,29,0,"6,227",3.7,0.61,210,2.62,0.1,133,0.1,82,"1,273",15.91,0.8,28.1%,"1,207",0.7,1.60,2.04,80.2%,1.82,"1,786",22.3,1.1,159,18,80,32,511,327,141,37,10,0,36,55,"2,190",943,242,722,"1,689",616,280,967,"494,375","6,180",4,15,236,0,42h,227,2.84,0.1,62,78,31m 49s,57.3%,01m 30s,77.5%,276.7,210,0.3,"149,989","33,383","116,606",184.0,41,583,0.53,89,0.1,79,0.1,557,1.38,77.7%,804,1.0,0.69,0.1,52.3%,389,815,252,158,426,"225,477",307.7,279,0.3,"177,895","69,778","108,117",203.5,80,533,0.36,0.0,0.69,121,0.1,54,0.1,650,1.84,82.6%,982,1.1,61.9%,333,874,364,122,541,"268,898","1,184",981,"1,040"
TSM vora#tay,na,"1,036","2,201",12.65,0.6,"4,574",26.29,1.3,5,249.7,"1,125",6.5,0.3,2.6%,94,52,29,10,2,87,137,97,67,"604,156","158,421","445,735","3,472.16",109.5,168.1,44,"4,991","2,658",265,"2,306",13.3,0.6,88,0,"12,414",3.5,0.66,312,1.79,0.1,163,0.0,150,"2,053",11.80,0.6,33.6%,"2,433",0.7,1.39,1.88,80.0%,1.64,"3,211",18.5,0.9,417,52,174,39,"1,159",590,197,59,9,0,35,357,"4,385","1,957",444,"1,550","3,593","1,355",590,"2,043","897,007","5,155",14,25,509,2,91h,442,2.54,0.1,120,71,31m 43s,56.9%,01m 32s,69.0%,235.7,540,0.3,"272,078","51,592","220,486",158.5,30,"1,154",0.59,121,0.1,83,0.0,"1,103",1.25,78.4%,"1,438",0.8,2.05,0.2,52.8%,811,"1,717",597,317,906,"404,766",262.4,585,0.3,"332,078","106,829","225,249",177.0,57,"1,152",0.51,0.0,0.70,191,0.1,80,0.0,"1,330",1.54,81.6%,"1,773",0.9,60.6%,739,"1,876",758,273,"1,137","492,241","1,073",935,"1,036"
LAGGINGLEGEND777#LVgod,na,999,"5,086",10.17,0.5,"13,536",27.07,1.3,29,276.2,"3,035",6.1,0.3,1.6%,170,93,46,21,8,161,202,209,103,"1,857,006","185,896","1,671,110","3,714.01",122.7,175.8,18,"18,095","9,372","1,998","8,598",17.2,0.8,126,0,"33,250",3.1,0.56,"1,671",3.34,0.2,"1,315",0.1,351,"4,230",8.46,0.4,31.8%,"7,928",0.8,1.18,1.53,75.9%,1.36,"10,158",20.3,1.0,755,186,500,45,"3,191","1,743",772,244,36,2,177,359,"17,277","7,081","1,978","4,897","10,563","2,518","2,277","5,666","2,917,461","5,835",56,87,891,8,252h,"1,476",2.95,0.1,306,66,30m 15s,53.6%,01m 25s,61.2%,267.7,"1,401",0.3,"886,611","31,440","855,171",169.3,6,"4,404",0.51,808,0.2,774,0.1,"3,826",1.11,74.7%,"4,889",0.9,0.72,0.1,50.7%,"2,584","5,237","1,121","1,229","2,653","1,401,700",284.6,"1,628",0.3,"970,395","154,456","815,939",182.2,29,"4,194",0.25,0.0,0.61,863,0.2,541,0.1,"4,102",1.26,77.2%,"5,272",1.0,56.6%,"2,313","5,326","1,397","1,048","3,013","1,515,761","1,218",898,999
100T Cryo#0001,na,984,"1,384",11.44,0.5,"2,895",23.93,1.1,4,276.0,603,5.0,0.2,2.1%,53,31,18,3,1,64,61,59,26,"464,169","120,426","343,743","3,836.11",121.4,181.9,47,"4,184","1,892",268,"1,766",14.6,0.7,64,0,"8,738",3.4,0.59,363,3.00,0.1,254,0.1,106,935,7.73,0.4,29.8%,"1,757",0.7,1.44,1.79,79.0%,1.61,"2,550",21.1,1.0,228,35,121,33,802,466,198,49,4,1,41,84,"3,396","1,545",243,"1,112","2,552",833,494,"1,440","704,320","5,821",7,20,358,0,63h,384,3.17,0.2,86,72,31m 36s,56.4%,01m 29s,71.1%,268.9,273,0.2,"221,093","46,778","174,315",177.2,37,900,0.56,179,0.1,143,0.1,886,1.35,77.3%,"1,214",1.0,0.69,0.1,54.1%,573,"1,248",373,258,675,"335,642",282.7,330,0.3,"243,076","73,648","169,428",186.4,56,866,0.53,0.0,0.62,184,0.1,111,0.1,871,1.54,80.7%,"1,336",1.0,58.7%,539,"1,304",460,236,765,"368,678","1,351",965,984
victini#vvv,na,983,"3,559",17.88,0.8,"3,171",15.93,0.7,7,254.6,"1,104",5.5,0.3,2.3%,96,62,26,5,0,65,107,117,44,"707,999","163,143","544,856","3,557.78",109.6,167.0,38,"9,031","2,621",847,"2,935",14.7,0.7,75,0,"13,254",3.1,0.55,527,2.65,0.1,433,0.1,166,"5,069",25.47,1.2,21.0%,"2,324",0.5,1.26,1.63,74.5%,1.45,"3,690",18.5,0.9,348,70,199,38,"1,313",676,253,54,10,0,43,94,"5,387","2,396",394,"1,960","4,239","1,304",626,"2,279","1,079,232","5,423",1,32,191,1,107h,552,2.77,0.1,128,67,32m 28s,53.8%,01m 31s,64.3%,258.7,523,0.3,"346,873","64,428","282,445",167.5,31,"1,518",0.50,254,0.1,250,0.1,"1,168",1.20,73.1%,"1,821",0.9,0.47,0.0,50.9%,"1,017","2,071",552,353,"1,054","535,670",250.7,580,0.3,"361,126","98,715","262,411",166.6,46,"1,417",0.38,0.0,0.60,273,0.1,183,0.1,"1,156",1.32,75.8%,"1,869",0.9,56.5%,943,"2,168",752,273,"1,225","543,562","1,006",893,983
Peggsterr#NJLTC,na,973,"1,404",17.12,0.8,"2,798",34.12,1.6,1,255.8,478,5.8,0.3,2.2%,39,24,11,3,0,28,54,31,20,"284,423","43,351","241,072","3,468.57",111.5,162.2,25,"3,577","1,478",395,"1,277",15.6,0.7,22,0,"5,095",2.9,0.55,269,3.28,0.2,219,0.1,64,"1,232",15.02,0.7,27.1%,"1,213",0.7,1.22,1.59,75.4%,1.40,"1,554",19.0,0.9,145,19,82,36,541,303,94,30,1,0,18,27,"2,501","1,038",316,779,"1,753",475,320,974,"448,403","5,468",0,17,302,0,42h,252,3.07,0.1,63,62,31m 07s,55.6%,01m 27s,76.8%,241.1,223,0.3,"132,308","2,788","129,520",151.0,3,684,0.50,144,0.2,146,0.2,578,1.07,72.5%,733,0.8,0.33,0.0,52.5%,416,876,193,180,460,"211,186",270.5,254,0.3,"152,115","40,563","111,552",173.4,46,593,0.27,0.0,0.63,125,0.1,73,0.1,635,1.38,78.2%,821,0.9,58.6%,363,877,282,140,514,"237,217",983,896,973
